Action,Adventure,Cars,Comedy,Dementia,Demons,Drama,Ecchi,Fantasy,Game,Harem,Historical,Horror,Josei,Kids,Magic,Martial Arts,Mecha,Military,Music,Mystery,Parody,Police,Psychological,Romance,Samurai,School,Sci-Fi,Seinen,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life,Space,Sports,Super Power,Supernatural,Thriller,Unknown,Vampire,Yaoi	
9.34114067330699,9.36105162409489,9.298958333333335,9.321906986540375,9.226878483835005,9.272503376371626,9.386200338579933,9.039356576652468,9.320604056255698,9.19552570393936,9.003811333428683,9.423821365934726,9.209967489936798,9.30753998389745,9.03219601110535,9.270973969272232,9.213208566131225,9.321585501004824,9.466795710604277,9.29656792363693,9.386590977599417,9.304100613499688,9.417201834662201,9.38566279330717,9.278401425508052,9.41077535604251,9.304208753260525,9.26341523023584,9.204057231277408,9.210206186890362,8.834776484064454,9.377696703717124,9.074139494677494,9.26317610238473,9.24454741832413,9.259727661969576,9.34815079873449,9.363833385573393,9.428297000318283,10.0,9.193815075737486,8.68015873015873
8.44435845688599,8.473895777734858,8.58924472962934,8.375334285980646,8.40808246738217,8.407808462539869,8.585348768807584,7.940869678900726,8.388796890284732,8.2533513930119,7.914730877444384,8.658775153126983,8.246209494829305,8.358941431401385,8.057362471077596,8.394419089754553,8.168707989299465,8.547469278402618,8.802502171936556,8.665020525087911,8.60007817799524,8.531691727635629,8.81083013533309,8.604042071310678,8.310087335685377,8.638709222938587,8.366934739166966,8.457125816523815,8.353609920296998,8.295046013630804,7.779122003444435,8.5071205818781,7.870643277018182,8.471989737585645,8.630991170650143,8.472649107416363,8.531818563972623,8.486223334007699,8.845616762638663,7.0,8.23344789984194,7.7371734563390575
7.826373793058222,7.894162442219656,8.08987720790605,7.768507191938759,7.8834485864520785,7.7554580523420995,8.053076906785556,7.225831650864424,7.7702599015535725,7.707229470130706,7.071319811490631,8.06527572472138,7.644679890410279,7.890692986365529,7.285469134079568,7.74420501002197,7.563285300593317,7.8988200004461575,8.220155825702065,7.99501424814799,8.042225604588538,7.8497365726280535,8.294497081013704,8.086588272133225,7.6829674056755115,8.035781302701022,7.766648393846026,7.844750559412603,7.775756094597549,7.7080609051007425,7.21249811536405,7.926358113232916,7.4082999112389,7.9240467458942065,8.029756399047304,7.909108705266425,7.917348670041427,7.932600370929453,8.313199918773321,5.5,7.651357213364664,6.795570070954689
7.25763240383911,7.363602977422115,7.613456080386426,7.229033603694068,7.361140738329668,7.126144551947165,7.545572757900109,6.53447513997622,7.201419731039194,7.050986080031422,6.356333466761076,7.6775536513745735,7.004663247658572,7.34735576413403,6.788189408191352,7.211803242507918,6.979646252220181,7.303997753340301,7.701581361168887,7.429389682717538,7.512522158822939,7.354342885962863,7.7301206346313425,7.552581525587247,7.08301417256538,7.5115744064759955,7.224698965878926,7.313371656152441,7.260272199085067,7.192493545958474,6.498078159775415,7.381454871144436,6.144963650360855,7.463543246095824,7.563852645014449,7.377885162998192,7.354362564570025,7.3730229202156385,7.820370403366039,4.726190476190475,7.110268256403244,5.8967597461018535
6.586864508412418,6.685512961392221,6.917344726539571,6.567451813593396,6.776336245718768,6.531139039312458,6.951856145134827,5.6766377428567765,6.4969496514079825,6.366632420409874,5.459033792895045,7.133696887128985,6.254000181692192,6.7668682383383665,6.036666777752673,6.542096434636195,6.24833035525807,6.711264028899329,7.1090194716196065,6.700225568199839,6.9476037417788925,6.706111885772032,7.270967133886158,6.959802576208295,6.4065745660368085,6.945931708606992,6.53032071749601,6.672042758886096,6.677985214489247,6.454120662486501,5.699326976765474,6.7540460080049565,5.979735893878042,6.874297023717802,6.8587384924355845,6.752858138907793,6.713820958596369,6.698140375217273,7.309829057543032,6.833333333333333,6.369343557484959,5.105712659433592
5.544650779520124,5.730737256217848,6.4631944444444445,5.528463643199451,6.366786397591324,5.5151280275808325,6.043382795623598,4.453109882256263,5.534944111664,5.241713055968726,4.180325510915611,6.370721114477828,5.257638613312104,6.1343379783902305,4.897778333680918,5.36808726802092,5.356512218210896,5.715402956628692,6.199660262974317,5.706266856400469,6.054736632912045,5.851241942199253,6.221218905832968,6.1074576295018,5.309778378184184,6.130452255908835,5.30663816615001,5.742438581163684,5.785481489390891,5.407490472336147,4.6044920431351075,5.7489121873416655,4.460654689226118,5.882585883543089,6.135916877114228,5.860680372640903,5.632674857327257,5.777148915733587,6.318794577551192,3.05,5.732653172977657,2.1570512820512824
4.491666666666667,4.444444444444444,,2.9,3.0,2.0,3.8055555555555554,,5.5625,,,10.0,3.25,,5.0,4.0,1.0,4.0,6.25,10.0,3.944444444444444,10.0,2.5,3.0,2.0833333333333335,10.0,2.3,6.416666666666667,3.3888888888888893,2.0,3.25,4.388888888888888,1.5,1.25,5.5,10.0,1.1666666666666665,1.6,1.0,,1.0,2.0
